phase,epoch,lr,train_loss,val_loss,val_accuracy,val_macro_f1,val_broken_mold_f1,seconds,device
head,1,0.00030000000000000003,2.0989904310554266,0.5294342935085297,0.7209302325581395,0.7382518796992481,0.7058823529411765,16.8,cpu
head,2,0.00010000000000000006,0.5316514939678689,0.39573804339549196,0.9302325581395349,0.9142857142857143,0.8285714285714285,16.87,cpu
head,3,0.0,0.19876487977363957,0.3828871892619645,0.8604651162790697,0.8346153846153845,0.7076923076923077,15.3,cpu
finetune,1,9.755282581475769e-06,0.25210823909415364,0.25827849116952467,0.9069767441860465,0.8861003861003861,0.7857142857142857,30.93,cpu
finetune,2,9.045084971874738e-06,0.22960814319398756,0.3256049103414019,0.9302325581395349,0.9142857142857143,0.8285714285714285,31.82,cpu
finetune,3,7.938926261462366e-06,0.2165856356649993,0.2988201444726049,0.9069767441860465,0.8861003861003861,0.7857142857142857,31.33,cpu
finetune,4,6.545084971874738e-06,0.2176816391727418,0.44481219043276116,0.8837209302325582,0.854973973395026,0.7362637362637363,31.05,cpu
finetune,5,5e-06,0.23792699475612047,0.29048548426362686,0.9302325581395349,0.9142857142857143,0.8285714285714285,30.67,cpu
finetune,6,3.4549150281252635e-06,0.3019018425083442,0.4285423541587079,0.8837209302325582,0.854973973395026,0.7362637362637363,30.47,cpu
